Extractants_count,SMILES_canonical,Extractant_conc_M,Solvent_A,Solvent_B,Volume_fraction_A,Volume_fraction_B,Metal,Metal_conc_mM,Acid_type,Acid_conc_M,Temperature_K,,Log_D
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,La(III),0.01,HNO3,4.3,295.15,,-0.492462312
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ce(III),0.01,HNO3,4.3,295.15,,-0.206030151
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Pr(III),0.01,HNO3,4.3,295.15,,-0.120603015
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Nd(III),0.01,HNO3,4.3,295.15,,-0.110552764
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Sm(III),0.01,HNO3,4.3,295.15,,-0.08040201
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Eu(III),0.01,HNO3,4.3,295.15,,-0.08040201
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Gd(III),0.01,HNO3,4.3,295.15,,-0.120603015
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tb(III),0.01,HNO3,4.3,295.15,,0.020100503
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Dy(III),0.01,HNO3,4.3,295.15,,0.095477387
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ho(III),0.01,HNO3,4.3,295.15,,0.115577889
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Er(III),0.01,HNO3,4.3,295.15,,0.100502513
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tm(III),0.01,HNO3,4.3,295.15,,0.025125628
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Yb(III),0.01,HNO3,4.3,295.15,,-0.065326633
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Lu(III),0.01,HNO3,4.3,295.15,,-0.180904523
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,La(III),0.01,HNO3,4.3,295.15,,0.065326633
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ce(III),0.01,HNO3,4.3,295.15,,0.633165829
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Pr(III),0.01,HNO3,4.3,295.15,,0.909547739
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Nd(III),0.01,HNO3,4.3,295.15,,1.130653266
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Sm(III),0.01,HNO3,4.3,295.15,,1.577889447
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Eu(III),0.01,HNO3,4.3,295.15,,1.713567839
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Gd(III),0.01,HNO3,4.3,295.15,,1.728643216
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tb(III),0.01,HNO3,4.3,295.15,,1.939698492
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Dy(III),0.01,HNO3,4.3,295.15,,2.040201005
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ho(III),0.01,HNO3,4.3,295.15,,2.090452261
