,Organic Phase Initial Conditions,,,,,,,Aqueous Phase Initial Conditions,,,,External Conditions,Results,Log_D
0,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,La(III),0.01,HNO3,4.3,295.15,0.321764175,-0.492462312
1,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ce(III),0.01,HNO3,4.3,295.15,0.622257084,-0.206030151
2,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Pr(III),0.01,HNO3,4.3,295.15,0.757525026,-0.120603015
3,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Nd(III),0.01,HNO3,4.3,295.15,0.775259749,-0.110552764
4,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Sm(III),0.01,HNO3,4.3,295.15,0.830994195,-0.08040201
5,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Eu(III),0.01,HNO3,4.3,295.15,0.830994195,-0.08040201
6,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Gd(III),0.01,HNO3,4.3,295.15,0.757525026,-0.120603015
7,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Tb(III),0.01,HNO3,4.3,295.15,1.047370898,0.020100503
8,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Dy(III),0.01,HNO3,4.3,295.15,1.245883364,0.095477387
9,1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.1,hydrogenated tetrapropylene,,1,0,Ho(III),0.01,HNO3,4.3,295.15,1.304901978,0.115577889
